"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"113701",148201,"xuRKtbvEJ7y5",0,1,"parity",NA,3,NA,NA,600373,73,NA,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113702",148202,"xuRKtbvEJ7y5",0,1,"magnitude","switch",2,NA,NA,603392,69,NA,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113703",148203,"xuRKtbvEJ7y5",0,1,"magnitude","repeat",4,69,1756.99999998324,605651,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113704",148204,"xuRKtbvEJ7y5",0,1,"parity","switch",8,69,2058.0000000773,608211,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113705",148205,"xuRKtbvEJ7y5",0,1,"parity","repeat",6,69,1455.99999988917,610170,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113706",148206,"xuRKtbvEJ7y5",0,1,"parity","repeat",7,73,1319.0000000177,611991,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113707",148207,"xuRKtbvEJ7y5",0,1,"parity","repeat",7,73,1138.99999996647,613631,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113708",148208,"xuRKtbvEJ7y5",0,1,"magnitude","switch",8,73,2157.9999999376,616290,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113709",148209,"xuRKtbvEJ7y5",0,1,"magnitude","repeat",2,69,1250,618040,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113710",148210,"xuRKtbvEJ7y5",0,1,"magnitude","repeat",1,69,1168.99999999441,619710,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113711",148211,"xuRKtbvEJ7y5",0,1,"magnitude","repeat",7,69,989.999999990687,621202,73,0,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113712",148212,"xuRKtbvEJ7y5",0,1,"parity","switch",8,69,1787.00000001118,623491,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113713",148213,"xuRKtbvEJ7y5",0,1,"parity","repeat",9,73,1499.00000006892,625491,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113714",148214,"xuRKtbvEJ7y5",0,1,"parity","repeat",3,73,1880.00000000466,627872,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113715",148215,"xuRKtbvEJ7y5",0,1,"parity","repeat",1,73,1330.00000007451,629703,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113716",148216,"xuRKtbvEJ7y5",0,1,"parity","repeat",3,73,1255.00000000466,631460,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113717",148217,"xuRKtbvEJ7y5",0,1,"parity","repeat",9,73,1389.00000008289,633350,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113718",148218,"xuRKtbvEJ7y5",0,1,"parity","repeat",1,73,1277.00000000186,635150,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113719",148219,"xuRKtbvEJ7y5",0,1,"parity","repeat",9,73,1738.99999994319,637391,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113720",148220,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,69,1408.9999999851,639301,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113721",148221,"xuRKtbvEJ7y5",0,1,"parity","repeat",3,73,1538.99999998976,641340,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113722",148222,"xuRKtbvEJ7y5",0,1,"parity","repeat",1,73,1459.99999996275,643331,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113723",148223,"xuRKtbvEJ7y5",0,1,"parity","repeat",6,69,1069.0000000177,644901,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113724",148224,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,69,1266.99999999255,646670,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113725",148225,"xuRKtbvEJ7y5",0,1,"parity","repeat",7,73,1598.99999992922,648771,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113726",148226,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,69,1719.00000004098,650991,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113727",148227,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,69,819.000000017695,652311,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113728",148228,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,69,769.999999902211,653582,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113729",148229,"xuRKtbvEJ7y5",0,1,"parity","repeat",9,73,1408.00000005402,655491,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113730",148230,"xuRKtbvEJ7y5",0,1,"parity","repeat",3,73,1268.99999997113,657260,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113731",148231,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,73,847.999999998137,658611,69,0,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113732",148232,"xuRKtbvEJ7y5",0,1,"parity","repeat",1,73,1287.99999994226,660401,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113733",148233,"xuRKtbvEJ7y5",0,1,"parity","repeat",1,73,1089.00000003632,661991,73,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113734",148234,"xuRKtbvEJ7y5",0,1,"parity","repeat",6,69,1089.9999999674,663581,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
"113735",148235,"xuRKtbvEJ7y5",0,1,"parity","repeat",2,69,1028.00000004936,665111,69,1,"blue","37","female","interesting one","left","no","nothing",7,6,7,7,6,6,7,6,7,8,"Slight Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement",NA
